FCST_AREA,STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,SEA_WARN_AREA,LOC_WARN_AREA,TRAVEL1,TRAVEL2,TRAVEL3,TRAVEL4,TRAVEL5
GN,GN1,주문진읍,주문진해변,128.8192,37.9110,357,527,168,50,142,215,219,251,5,166,145,91,135,강원중부앞바다,강릉평지,해수욕,서핑,-,-,-
GN,GN2,주문진읍,아들바위공원,128.8307,37.9058,357,527,169,51,142,215,220,251,5,166,145,91,135,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN3,주문진읍,소돌어촌체험마을,128.8295,37.9051,357,527,169,47,142,215,220,251,5,166,145,91,135,강원중부앞바다,강릉평지,어촌체험,-,-,-,-
GN,GN4,주문진읍,주문진등대,128.8338,37.8977,357,527,169,50,142,215,220,252,5,166,145,91,135,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN5,주문진읍,주문진항,128.8298,37.8926,358,526,166,51,142,215,223,253,5,166,145,91,135,강원중부앞바다,강릉평지,요트·유람선·여객선,-,-,-,-
GN,GN6,주문진읍,인공어초,128.8730,37.8762,358,526,168,51,142,215,225,255,5,166,145,92,134,강원중부앞바다,강릉평지,스쿠버,-,-,-,-
GN,GN7,연곡면,영진해변,128.8453,37.8691,358,526,166,52,143,214,224,256,5,167,146,92,134,강원중부앞바다,강릉평지,해수욕,-,-,-,-
GN,GN8,연곡면,해파랑길40코스,128.8473,37.8674,358,526,168,52,142,214,222,256,5,166,146,92,134,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN9,연곡면,연곡해변,128.8542,37.8584,359,525,169,52,143,214,224,257,5,167,146,92,134,강원중부앞바다,강릉평지,해수욕,-,-,-,-
GN,GN10,사천면,하평해변,128.8700,37.8459,359,525,167,52,143,214,227,258,5,167,146,92,134,강원중부앞바다,강릉평지,해수욕,서핑,-,-,-
GN,GN11,사천면,사천진해변,128.8739,37.8428,359,525,170,50,143,215,227,259,5,167,146,92,133,강원중부앞바다,강릉평지,해수욕,-,-,-,-
GN,GN12,사천면,사천요트장,128.8753,37.8350,359,524,168,50,143,214,227,260,5,167,146,92,133,강원중부앞바다,강릉평지,요트·유람선·여객선,해양레포츠,-,-,-
GN,GN13,사천면,사천해변,128.8784,37.8299,359,524,170,53,143,215,227,260,5,167,146,92,133,강원중부앞바다,강릉평지,해수욕,서핑,-,-,-
GN,GN14,안현동,해중공원난파선,128.9437,37.8194,361,524,171,52,143,214,233,262,5,167,146,93,133,강원중부앞바다,강릉평지,스쿠버,-,-,-,-
GN,GN15,강릉시,순긋해변,128.8931,37.8171,359,524,169,53,143,214,229,262,5,167,146,93,133,강원중부앞바다,강릉평지,해수욕,-,-,-,-
GN,GN16,강릉시,사근진해변,128.8993,37.8125,359,524,169,53,143,214,229,262,5,167,146,93,133,강원중부앞바다,강릉평지,해수욕,트래킹,-,-,-
GN,GN17,강릉시,해파랑길39코스,128.9066,37.8060,359,523,168,50,143,214,229,263,5,167,146,93,133,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN18,강릉시,경포해변,128.9078,37.8055,360,523,170,53,143,214,229,263,5,167,146,93,133,강원중부앞바다,강릉평지,해수욕,-,-,-,-
GN,GN19,강릉시,강문해변,128.9197,37.7895,360,523,170,53,143,214,229,263,5,167,146,93,133,강원중부앞바다,강릉평지,해수욕,-,-,-,-
GN,GN20,강릉시,경포호,128.9020,37.7972,359,523,170,51,143,214,228,264,5,167,146,93,133,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN21,강릉시,경포대,128.8966,37.7955,359,524,170,50,143,214,231,265,5,167,146,93,132,강원중부앞바다,강릉평지,문화체험,트래킹,-,-,-
GN,GN22,강릉시,경포아쿠아리움,128.9059,37.7906,359,523,168,54,143,213,229,265,5,167,147,93,132,강원중부앞바다,강릉평지,문화체험,-,-,-,-
GN,GN23,강릉시,허균.허난설헌기념공원,128.9098,37.7902,360,523,168,52,143,213,229,265,5,167,147,93,132,강원중부앞바다,강릉평지,문화체험,트래킹,-,-,-
GN,GN24,강릉시,경포생태습지,128.8972,37.7888,359,523,168,53,143,213,228,265,5,167,147,93,132,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN25,강릉시,선교장,128.8850,37.7866,359,523,167,54,143,213,226,266,5,167,147,92,132,강원중부앞바다,강릉평지,문화체험,-,-,-,-
GN,GN26,강릉시,오죽헌,128.8781,37.7794,359,522,169,54,143,213,225,266,5,167,147,92,132,강원중부앞바다,강릉평지,문화체험,-,-,-,-
GN,GN27,강릉시,송정해변,128.9402,37.7781,361,522,169,52,144,213,233,267,5,168,147,93,132,강원중부앞바다,강릉평지,해수욕,-,-,-,-
GN,GN28,강릉시,강릉커피거리,128.9451,37.7738,361,522,171,54,143,213,233,267,5,167,147,93,132,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN29,강릉시,안목해변,128.9471,37.7732,361,522,169,53,144,213,234,267,5,168,147,93,132,강원중부앞바다,강릉평지,해수욕,-,-,-,-
GN,GN30,강릉시,강릉항여객터미널,128.9512,37.7728,361,522,170,54,144,213,234,267,5,168,147,94,132,강원중부앞바다,강릉평지,요트·유람선·여객선,-,-,-,-
GN,GN31,강릉시,강릉항요트마리나,128.9508,37.7722,361,522,169,53,144,213,234,267,5,168,147,94,132,강원중부앞바다,강릉평지,요트·유람선·여객선,-,-,-,-
GN,GN32,강릉시,강릉아라나비,128.9513,37.7671,361,522,169,55,144,213,237,268,5,168,147,94,132,강원중부앞바다,강릉평지,해양레포츠,-,-,-,-
GN,GN33,강릉시,강릉바다열차,128.8986,37.7648,359,522,169,55,143,213,228,268,5,167,147,93,132,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN34,강릉시,해파랑길38코스,128.9661,37.7543,361,521,170,53,144,213,236,269,5,168,147,94,132,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN35,강동면,해파랑길37코스,128.9891,37.7356,362,521,169,55,144,213,239,272,5,168,147,94,131,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN36,강동면,안인해변,128.9900,37.7345,362,521,172,54,144,213,241,272,5,168,147,94,131,강원중부앞바다,강릉평지,해수욕,-,-,-,-
GN,GN37,강동면,강릉통일공원안보전시관,128.9967,37.7243,362,520,170,56,144,213,240,273,5,168,147,94,131,강원중부앞바다,강릉평지,문화체험,트래킹,-,-,-
GN,GN38,강동면,등명락가사,129.0063,37.7113,363,520,170,53,144,213,241,275,5,168,147,95,131,강원중부앞바다,강릉평지,문화체험,-,-,-,-
GN,GN39,강동면,해파랑길36코스,129.0118,37.7074,363,520,170,55,144,212,241,275,5,168,148,95,131,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN40,강동면,하슬라아트월드,129.0109,37.7068,363,520,170,56,144,212,241,275,5,168,148,95,131,강원중부앞바다,강릉평지,문화체험,트래킹,-,-,-
GN,GN41,강동면,등명해변,129.0162,37.7043,363,520,173,54,145,212,243,275,5,169,148,95,131,강원중부앞바다,강릉평지,해수욕,-,-,-,-
GN,GN42,강동면,정동진레일바이크,129.0330,37.6912,363,519,171,54,144,212,244,277,5,168,148,95,130,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN43,강동면,정동진해변,129.0343,37.6908,364,519,170,55,145,212,245,277,5,169,148,95,130,강원중부앞바다,강릉평지,해수욕,-,-,-,-
GN,GN44,강동면,모래시계공원,129.0376,37.6873,364,519,174,56,144,212,245,278,5,168,148,95,130,강원중부앞바다,강릉평지,문화체험,트래킹,-,-,-
GN,GN45,강동면,헌화로,129.0545,37.6641,364,518,174,56,145,212,247,280,5,169,148,95,130,강원중부앞바다,강릉평지,드라이브,트래킹,-,-,-
GN,GN46,옥계면,해파랑길35코스,129.0545,37.6546,364,518,174,58,145,212,247,281,5,169,148,95,130,강원중부앞바다,강릉평지,트래킹,-,-,-,-
GN,GN47,옥계면,금진해변,129.0450,37.6364,364,517,173,56,145,212,249,284,5,169,148,95,129,강원중부앞바다,강릉평지,해수욕,서핑,-,-,-
GN,GN48,옥계면,옥계해변,129.0493,37.6280,364,517,174,58,145,212,249,285,5,169,148,95,129,강원중부앞바다,강릉평지,해수욕,-,-,-,-
GN,GN49,옥계면,도직해변,129.0680,37.6094,365,516,173,58,145,212,250,287,5,170,149,96,129,강원중부앞바다,강릉평지,해수욕,-,-,-,-
